"Date","U.S..merchandise.exports.to.the.World","U.S..agricultural.exports.to.the.World","Soybeans","Hides...Skins","Wheat","Corn","Bulk","Cotton","Wine...Beer"
"1/2010",100.2,101,101.3,100.5,101.9,101.7,101.4,101.7,99.5
"2/2010",101.5,101.7,101.5,101,102,101.7,101.7,102.1,100.9
"3/2010",100.4,100.7,101.2,100.5,101.3,100.9,101.1,101.5,100.4
"4/2010",99.5,100,101,99.9,101,101,100.7,100.3,99.5
"5/2010",102.6,102.2,101.9,101.7,102.4,102.4,102.2,102,102.9
"6/2010",103.2,102.5,101.8,102.4,102.2,102.7,102.3,102.2,103.3
"7/2010",101.6,101.3,100.7,101.6,100.9,101.3,101,101.1,101.6
"8/2010",100.6,100.3,100.1,100.8,99.3,99.7,99.9,100.1,100.3
"9/2010",99.7,99.4,99.2,99.7,98.5,98.8,99,99,99.9
"10/2010",96.7,96.8,97.2,97.3,96.5,96.2,96.7,96.6,97
"11/2010",96.6,96.7,96.8,97.1,96.5,96.3,96.6,96.3,96.8
"12/2010",97.2,97.2,97.1,97.4,97,97.1,97.1,97.2,97.5
"1/2011",96.2,96.3,96.3,96.3,96.4,95.9,96.3,97,96.8
"2/2011",95.6,95.9,96.1,96,96.2,95.9,96.2,97,95.6
"3/2011",95,95.6,96.2,96.2,96.3,96.1,96.2,97.1,94.8
"4/2011",93.6,94.7,95.6,95.1,96,95.9,95.6,95.8,93.6
"5/2011",93.9,94.8,95.3,95,95.9,95.4,95.4,96,94
"6/2011",93.9,94.8,94.8,94.5,95.5,95.1,95.1,96.1,94.1
"7/2011",93,93.8,94.1,93.7,94.5,94,94.3,95.8,93.5
"8/2011",94,94.6,93.8,93.8,94.6,94.2,94.5,96.7,94.3
"9/2011",97,96.6,94.5,95.2,96.2,96.1,95.9,98.1,96.9
"10/2011",97.9,97.2,94.3,95.2,96.6,96.9,96.2,98.2,97.5
"11/2011",98,97.2,94,94.7,96.7,97,96.1,97.6,97.7
"12/2011",98.6,97.5,93.7,94.6,96.9,97,96.2,98.1,98.3
