"","Month","Year","U.S..merchandise.exports.to.the.World","U.S..agricultural.exports.to.the.World","Soybeans","Hides...Skins","Wheat","Corn","Bulk","Cotton","Wine...Beer"
"1",1,1970,105,99.1,70.4,73.7,101.9,127.3,90.1,78,106.7
"2",2,1970,105.3,99.4,70.6,73.6,102.5,127.4,90.3,78.2,107
"3",3,1970,105.6,100,70.7,73.5,105,127.3,90.8,78.4,107.4
"4",4,1970,105.9,100.4,71.2,73.7,105.2,127.3,91.2,79.2,107.6
"5",5,1970,106.2,100.7,71.4,73.9,105.3,128.2,91.4,78.4,108
"6",6,1970,105.7,100.4,71.5,74.3,105.4,128.8,91.5,78.5,107
"7",7,1970,105.6,100.4,71.6,74.4,105.9,129.2,91.7,78.7,106.7
"8",8,1970,105.6,100.6,71.7,74.3,106.3,129.1,92.5,83,106.3
"9",9,1970,105.7,100.8,71.8,74.1,106,128.2,92.7,84.9,106.4
"10",10,1970,105.9,101,71.9,74.1,106.4,128,92.8,85.2,106.7
"11",11,1970,106.1,101.1,71.9,74.3,106.3,128.4,92.9,85.2,106.8
"12",12,1970,106.3,101.2,72,74.1,106.1,128,92.8,85.3,107
"13",1,1971,105.2,100.2,71.4,73.4,104.6,126.6,91.9,84.7,106
"14",2,1971,104.9,99.8,71.2,73.3,104.2,126.6,91.6,83.4,105.6
"15",3,1971,104.8,99.7,71.1,73.1,103.8,126.3,91.4,83.3,105.5
"16",4,1971,104.5,99.5,71,73.2,103.6,126.1,91.3,83.5,104.9
"17",5,1971,104.6,99.8,71.2,73.7,103.7,127.1,91.6,84,105
"18",6,1971,105.1,100.4,71.5,74.3,103.5,127.9,92,84.4,105.6
"19",7,1971,105.1,100.6,71.6,75.6,103.4,129.8,92.2,83.5,105.4
"20",8,1971,104.4,100.1,71.5,75.3,104.1,129.3,92.1,83.7,104.3
"21",9,1971,103.3,98.9,71.1,74.7,102.7,126,91,83.6,103.1
"22",10,1971,102.6,98.3,70.8,74.6,102,125.1,90.6,83.6,102.2
"23",11,1971,102.1,97.8,70.3,74.3,101.4,124.7,89.9,82.1,101.8
"24",12,1971,101.6,97.7,70.4,74.2,101.4,125.7,90.1,81.8,101.3
"25",1,1972,99.7,95,66.3,70.8,99.1,122,86.6,79,99.6
"26",2,1972,99.3,94.6,66.1,70.5,98.5,120.9,86.2,78.9,99
"27",3,1972,98.7,94.1,65.9,70.2,98,120.1,85.8,78.7,98.3
"28",4,1972,98.5,93.9,65.8,70.3,98.2,119.7,85.7,78.7,98.1
"29",5,1972,98.4,94.1,65.8,70.3,98.2,120.1,86,80.2,97.8
"30",6,1972,98.2,94.1,65.7,70.4,98.4,119.9,86,81.2,97.8
"31",7,1972,98.1,93.8,64.9,69.6,98.7,119.7,85.6,80.8,98.3
"32",8,1972,97.4,93.2,64.7,69.2,98.3,119.1,85.1,79.7,97.7
"33",9,1972,97.6,93.2,64.5,69.2,98.9,119,85.1,79.6,97.7
"34",10,1972,97.8,93.4,64.6,69.6,97.8,119.6,85.1,79.8,98
"35",11,1972,97.8,93.4,64.4,69.9,99.3,120,85.2,79.5,98.3
"36",12,1972,97.6,93.3,64.3,70,98.6,119.5,85,79.2,98.5
"37",1,1973,97.1,92.9,64.2,69.9,97.9,119.1,84.6,79,97.9
"38",2,1973,94.2,90.3,61.8,67.7,95.6,115.6,82,77.1,94.9
"39",3,1973,92.3,88.2,59,65.7,93.4,112.4,79.4,75.2,93.6
"40",4,1973,92,88.1,59.2,66.1,92.9,111.9,79.3,75.3,93.4
"41",5,1973,91.2,87.5,58.8,65.7,92.1,111.3,78.7,74.2,92.7
"42",6,1973,89.7,86.4,57.3,64.6,91.3,111.1,77.6,73.1,91.4
"43",7,1973,87.7,84.9,56,63.5,90.1,109.8,76.1,71.7,90
"44",8,1973,89.2,86.3,57.5,65,91,111.1,77.6,73.2,91.8
"45",9,1973,88.5,85.3,56.9,64.5,89.6,108.9,76.4,71.9,91.7
"46",10,1973,87.4,84.7,56.6,64.1,88.3,108.4,76,71.5,90.8
"47",11,1973,90,86.2,58,65.1,91,110,77.5,72.5,92.9
"48",12,1973,90,86,58.4,65.4,89.8,108.5,77.2,72,93.5
"49",1,1974,90.7,86.1,58.8,65.5,89.4,107.9,77.2,72,94.6
"50",2,1974,89.1,84.7,58.1,64.3,87.9,104.8,75.9,71.4,92.8
"51",3,1974,88.1,83.9,57.6,63.6,87.2,103.6,75.2,70.5,91.8
"52",4,1974,86.6,82.5,56.6,62.8,85.5,101.6,73.9,69.5,90
"53",5,1974,86.3,82.4,56.1,62.4,85.7,102.7,73.8,69,89.4
"54",6,1974,86.8,83,57,63.5,85.5,103.6,74.4,69,90.1
"55",7,1974,87.1,83.3,57.4,63.6,85.9,104,74.7,69.2,90.6
"56",8,1974,88,84.2,58.4,64.2,86.7,105.3,75.7,70,91.8
"57",9,1974,88.6,84.8,59.2,64.8,86.6,105,76.2,70.8,92.5
"58",10,1974,88.2,84.2,58.5,64.6,86.5,104.3,75.6,70.1,91.9
"59",11,1974,87.4,83.7,57.8,63.8,86.2,103.9,74.9,69.5,91.1
"60",12,1974,87.6,84,57.1,64.9,87.5,106.5,75.1,69.1,90.9
"61",1,1975,86.9,83.2,55.7,63.8,86.9,105.8,74,68.1,90
"62",2,1975,86.3,82.7,55.2,63.2,85.9,105.1,73.4,67.4,89.3
"63",3,1975,86,82.1,54.5,62.6,85,104,72.6,66.9,88.8
"64",4,1975,86.4,82.3,54.9,62.9,84.6,103.4,72.7,67.1,89.1
"65",5,1975,86.1,82,54.7,62.3,83.8,102.8,72.4,67.7,88.9
"66",6,1975,86.3,82.1,54.7,62.2,83.5,103,72.4,67.9,88.9
"67",7,1975,88.2,83.8,56.8,64.2,84.7,104.1,74.2,69.8,90.9
"68",8,1975,89.3,84.7,58.4,65.4,85.1,104.3,75.3,71.1,92
"69",9,1975,89.8,84.8,58.9,65.7,85.1,103.6,75.5,71.6,92.2
"70",10,1975,89.7,84.6,58.6,65.3,85.3,103.2,75.3,71.6,92.1
"71",11,1975,89.6,84.6,58.7,65.5,85.2,103.9,75.5,71.5,91.8
"72",12,1975,89.9,85,59,65.9,85.5,104.5,75.8,71.8,92.2
"73",1,1976,89,84.1,58.6,65.6,84.3,103.2,75,71,91.3
"74",2,1976,88.3,83.4,58.2,65.4,83.7,102.4,74.4,70.2,90.6
"75",3,1976,88,83.1,58.2,65.3,83.6,101.7,74.3,70.4,90.9
"76",4,1976,88,83,58.1,65.3,83.3,100.8,74.1,70.8,91.2
"77",5,1976,88.2,83.1,58.3,65.5,83.4,101,74.4,71.2,91.4
"78",6,1976,88.3,83.1,58.4,65.5,83.2,101,74.4,71.3,91.7
"79",7,1976,87.8,82.7,58.1,65.2,82.7,100.3,73.9,70.6,91.3
"80",8,1976,87.8,82.6,57.8,64.9,82.4,100.1,73.6,70.3,91.5
"81",9,1976,92.5,86.7,59.4,65.9,85.6,107.1,77.3,73.2,94.2
"82",10,1976,92,86.3,59.1,65.8,85.2,107,77,73.1,94.3
"83",11,1976,93.7,87.9,59.7,66,86.8,110,78.4,73.8,95.3
"84",12,1976,91.8,85.8,58.3,65.1,84.5,105.5,75.9,71.7,94.1
"85",1,1977,91.2,85.3,58.3,65.1,83.7,104.8,75.6,71.7,93
"86",2,1977,92.6,86.5,59.1,65.5,84.5,105.5,76.5,72.7,94.2
"87",3,1977,92.6,86.4,58.9,65.4,83.7,104.9,76.2,72.8,94.3
"88",4,1977,92.1,85.9,58.7,65.4,82.8,103.7,75.7,72.3,93.9
"89",5,1977,91.8,85.6,58.4,65.2,82.6,103.6,75.4,72.2,93.6
"90",6,1977,92,85.7,58.4,65.1,81.9,103.1,75.2,72.3,93.8
"91",7,1977,91.4,85.1,57.9,64.6,81.2,102.2,74.6,71.5,93.3
"92",8,1977,91.3,84.9,57.6,64.2,80.5,101.6,74.1,70.7,93.5
"93",9,1977,91,84.5,57.4,64.2,80.7,101.2,73.9,70.3,93.2
"94",10,1977,90.5,83.9,56.9,63.9,79.9,99.6,73,69.7,92.9
"95",11,1977,90.3,83.5,56.2,63.5,79.7,99,72.4,68.6,92.3
"96",12,1977,89,82.5,55,62.4,79.2,98.4,71.4,67.6,91
"97",1,1978,88.1,81.7,54.1,61.3,79.1,97.7,70.6,66.4,90
"98",2,1978,87.8,81.4,53.4,60.7,78.5,97.3,70,65.6,89.9
"99",3,1978,87.9,81.4,53.2,60.5,78.1,96,69.9,68,90.1
"100",4,1978,88.3,81.5,53.7,61.2,77.3,94.6,69.8,68.2,90.9
"101",5,1978,88.9,82.1,54.9,62.1,77.8,95.7,70.8,68.8,91.3
"102",6,1978,88.6,81.8,54.9,62,77.6,94.5,70.5,68.5,91.1
"103",7,1978,87.6,80.8,54.4,61.6,76.8,92.3,69.6,67.8,89.9
"104",8,1978,86.9,79.9,53.6,61.1,75.8,90.4,68.5,66.9,89.2
"105",9,1978,87.2,80.3,53.7,61.1,76,90.5,68.6,66.8,89.9
"106",10,1978,86.2,79.5,52.8,60.4,75.2,89.5,67.7,66,89
"107",11,1978,86.9,80.3,53.2,60.3,76.4,90.9,68.4,66.6,89.9
"108",12,1978,87.5,80.9,53.2,60.1,76.9,91.7,68.8,67,92.2
"109",1,1979,87.2,81.4,53.3,59.6,79.8,94.6,69.6,66.4,91.9
"110",2,1979,87.7,81.7,53.3,59.6,79.9,95.3,69.8,66.3,92.4
"111",3,1979,87.6,81.9,53.7,59.7,80.1,96.1,70.2,66.4,92.1
"112",4,1979,88,82.4,54.3,60.2,80.3,97.4,70.8,66.9,92.1
"113",5,1979,88.8,82.9,54.8,60.5,80.4,97.9,71.2,67.1,93
"114",6,1979,89.2,83.5,54.9,60.7,80.7,98.5,71.6,68.1,93.2
"115",7,1979,88.1,82.8,54.3,60.2,80.2,98.2,71.1,67.6,91.1
"116",8,1979,88.3,83.2,54.5,60.5,80,98.8,71.2,67.4,91.7
"117",9,1979,88.1,83,54.4,60.2,80,99,71.1,67,91.7
"118",10,1979,88.5,83.3,54.4,60.2,80.2,99.8,71.2,66.6,92.4
"119",11,1979,89,84.2,54.8,60.4,81.2,102.1,72,66.5,93.2
"120",12,1979,88.7,83.7,54.5,59.9,80.9,101.3,71.5,66.2,92.2
"121",1,1980,88.9,84,54.4,61.4,80.6,101.6,71.7,67.3,92.5
"122",2,1980,89.6,85.1,55.2,62.3,81.3,102.8,73.1,71.7,92.7
"123",3,1980,91.8,86.9,57,63.9,82.5,103.8,74.6,72.8,95.5
"124",4,1980,92.2,87.3,57.1,64.1,82.8,103.8,74.8,73.1,95.7
"125",5,1980,90.1,85,55.4,62.4,81,100.2,72.7,71.5,93.1
"126",6,1980,89.1,84,54.8,62,80.2,98.7,71.9,71.3,91.9
"127",7,1980,87.9,83.2,54.2,61.5,78.7,98.5,71.1,70.4,90.7
"128",8,1980,88.4,83.8,54.9,62.2,79.1,99.5,71.8,70.8,91.4
"129",9,1980,88.1,83.3,54.6,62.1,78.3,97.6,71.1,70.4,91.2
"130",10,1980,88.4,83.5,55,62.6,78.1,97.2,71.3,70.7,91.6
