"Date","U.S..agricultural.imports","Soybeans","Intermediates","Fish.Products","Cocoa.Paste....Butter","Coffee..Unroasted","Chocolate...Cocoa.Products"
"1/2010",100.7,101,99.9,101.9,99.3,103,99.7
"2/2010",102.1,102.6,101.7,102.6,101.5,103.3,101.5
"3/2010",100.5,100.9,100.3,101.4,100.6,101.1,99.9
"4/2010",99.4,99.2,99.1,100.4,99.6,100.4,98.7
"5/2010",102.4,102.3,102.6,102.1,103.3,102.4,102.7
"6/2010",102.8,102.9,103.4,102.1,104.3,101.7,103.5
"7/2010",101.4,101.1,101.6,101,101.3,100,101.6
"8/2010",100.5,100.1,100.7,100,100.2,98.9,100.8
"9/2010",99.4,98.9,99.6,98.7,99,98,99.9
"10/2010",96.8,96.6,96.6,96.7,96,96.5,96.8
"11/2010",96.6,96.7,96.7,96.5,96.6,97.2,96.8
"12/2010",97,97.4,97.4,96.5,97.9,97.4,97.7
"1/2011",96.2,96.3,96.5,96.3,96.8,95.9,96.5
"2/2011",95.5,95.5,95.7,95.8,95.6,95.5,95.5
"3/2011",95,94.9,94.8,95.6,94.6,95.5,94.5
"4/2011",93.4,93.7,93.2,94.5,92.5,93.2,92.7
"5/2011",93.8,94.2,93.8,94.7,93.2,93.6,93.3
"6/2011",93.9,94.4,94,94.7,93.1,92.8,93.6
"7/2011",92.9,93.4,93.1,93.6,92.8,91.8,92.8
"8/2011",94.1,94.1,94.1,94,92.7,93,94
"9/2011",96.9,96.7,97.1,95.7,96.2,96.6,97.6
"10/2011",98.1,97.6,98.1,96.6,97,98.1,98.9
"11/2011",98.2,97.9,98.5,96.6,97.5,97.6,99.2
"12/2011",98.8,98.6,99.5,96.9,98.6,98.1,100.1
"1/2012",98.3,98.3,99.3,96.7,99.2,96.5,100
"2/2012",96,96.4,97,95,97.3,94,97.6
"3/2012",96.7,97.2,97.6,95.6,98.4,95.4,98.2
"4/2012",97.2,97.4,98.1,95.6,98.8,96.5,98.8
"5/2012",99.3,99,100.2,97,100.9,98.8,101.2
"6/2012",100.7,100.6,102,98,102.9,100.1,103.3
"7/2012",99.5,99.9,101.1,96.9,103,99,102.3
"8/2012",98.7,98.9,100.1,96.4,102.4,99.4,101.2
"9/2012",97.6,97.6,98.7,95.7,100.8,99.3,99.6
"10/2012",97.1,97.1,98.1,95.2,99.8,98.8,99
"11/2012",97.4,97.3,98.6,95.2,99.9,98.9,99.4
"12/2012",96.3,96.5,97.4,94.5,98.4,98.1,98
"1/2013",95.8,96.2,97,94.1,97.6,96.7,97.5
"2/2013",96.4,97.4,97.7,94.7,98.1,96.3,98.2
