"","Month","Year","U.S..agricultural.imports","Soybeans","Intermediates","Fish.Products","Cocoa.Paste....Butter","Coffee..Unroasted","Chocolate...Cocoa.Products"
"1",1,1970,103.3,90.1,96.7,121.3,104.3,61.8,106.9
"2",2,1970,103.6,91.1,97.2,121.4,104.6,62.1,107.3
"3",3,1970,104.1,94.6,98.1,122.4,104.4,62.3,107.4
"4",4,1970,105.1,95.4,98.7,124.4,106.5,62.5,108.5
"5",5,1970,105.6,96,99.1,125.3,108.4,62.7,109.6
"6",6,1970,104.7,95.3,98.2,124.6,106.7,62.4,107.8
"7",7,1970,104.9,94.8,98,124.9,106.8,62.7,107.6
"8",8,1970,105,94.6,97.6,126.5,106.7,62.5,107.2
"9",9,1970,105.1,94.7,97.8,126.5,107.5,62.7,107.7
"10",10,1970,105.5,95.1,98.1,126.9,108.1,63.1,108.4
"11",11,1970,105.5,94.9,98.1,126.8,107.9,63.4,108.4
"12",12,1970,105.8,95,98.4,127.2,108.7,63.8,108.9
"13",1,1971,104.7,93.9,97.4,126.1,107.4,62.8,107.7
"14",2,1971,104.4,93.3,96.9,125.8,106.9,62.9,107.3
"15",3,1971,104.3,93.4,96.9,125.7,106.6,63,107.1
"16",4,1971,104,93.5,96.6,125.5,106.9,63.3,107
"17",5,1971,104.3,94,96.8,126.1,107,63.7,107
"18",6,1971,104.8,94.8,97.3,126.9,107.4,63.3,107.7
"19",7,1971,104.4,94.4,96.9,126.5,107.5,63.1,107.5
"20",8,1971,104.1,93.9,96.3,126.4,107.7,63.9,106.9
"21",9,1971,103.6,93.6,95.7,126,107.7,64.1,106.6
"22",10,1971,103,92.8,95,125.4,106.8,64.2,105.8
"23",11,1971,102.5,92.5,94.6,124.6,106.2,63.5,105.3
"24",12,1971,102,90.9,93.6,124.8,105.2,63.8,104.7
"25",1,1972,101.2,89,92.4,123.5,103.8,63.5,103.6
"26",2,1972,101,88.8,92,123.4,102,63.9,102.6
"27",3,1972,100.4,88.5,91.5,122.3,101.2,64,102
"28",4,1972,100,88.6,91.2,121.9,100.8,63.3,101.6
"29",5,1972,99.7,88.8,91.1,121.5,100.8,63.5,101.4
"30",6,1972,99.4,88.5,90.8,121.5,100.6,63.2,101
"31",7,1972,99,88.2,91.1,120.5,101.2,63.4,101.2
"32",8,1972,98,87.6,90.4,118.6,101.1,63.4,100.9
"33",9,1972,99.1,87.4,90.9,121.1,101,63.1,100.7
"34",10,1972,98.7,87.7,91,120.1,100.7,63.4,100.7
"35",11,1972,98.3,87.2,90.9,119.1,99.4,63.2,100
